10091617	PD	Parkinson's disease
10091617	UKPDRG	United Kingdom Parkinson's Disease Research Group
10193204	APTT	activated partial thromboplastin time
10193204	ASA	acetylsalicylic acid
10193204	EP	epinephrine
10193204	FAN	fangchinoline
10193204	PT	prothrombin time
10193204	TET	Tetrandrine
10193204	TT	thrombin time
10342929	ACE	angiotensin-converting enzyme
10365197	CIMD	cocaine-induced mood disorder
10526274	GEM	gemcitabine
10526274	NSCLC	nonsmall cell lung carcinoma
10526274	VNB	vinorelbine
10579464	MAP	methamphetamine
10579464	PPI	prepulse inhibition
10704919	TAM	Tamoxifen
10704919	alpha-T	alpha-tocopherol
10704919	alpha-TAc	alpha-tocopherol acetate
10706004	SBP	systolic blood pressure
10739826	OC	oral contraceptives
10739826	VTE	venous thromboembolism
10835440	BP	blood pressure
10835440	DBP	diastolic BP
10835440	INWEST	Intravenous Nimodipine West European Stroke Trial
10835440	SBP	systolic BP
10901305	CHEOPS	Children's Hospital of Eastern Ontario Pain Scale
11007689	TMA	thrombotic microangiopathy
11027905	MMSE	Mini-Mental State Examination
11027905	NMDA	N-methyl-D-aspartate
11135224	CI	confidence interval
11135224	NSCLC	nonsmall cell lung carcinoma
11250767	MPO	myeloperoxidase
11250767	pANCA	perinuclear-staining antineutrophil cytoplasmic autoantibodies
11256525	RAS	renin-angiotensin system
11263551	CIPS	Calcineurin-inhibitor Induced Pain Syndrome
11279304	ANP	atrial natriuretic peptide
11279304	BNP	brain natriuretic peptide
11279304	DNR	daunorubicin
11334364	AAP	acetaminophen
11334364	AMI	amiodarone
11334364	DNA	endonuclease-dependent and independent
11334364	DOX	doxorubicin
11334364	GSPE	grape seed proanthocyanidin extract
11379838	SSRIs	selective serotonin reuptake inhibitors
11391224	PTCR	peritubular capillary basement membranes
11391224	TG	transplant glomerulopathy
11426838	DTG	di-o-tolylguanidine
11532387	RS	Rabbit syndrome
11569530	MAPD	monophasic action potential duration
11569530	TDP	Torsades de pointes
11679859	CI	confidence interval
11706060	ANF	atrial natriuretic factor
11706060	CM	cardiomyopathy
11706060	HAART	Highly active antiretroviral therapy
11706060	LA	lactate
11773892	CRF	chronic renal failure
11773892	ESRD	end-stage renal disease
11807648	FS	Fibrin sealants
